CodCaja,Fecha,TtdCod,MovFe,MovFv,MovTipDocRef,MovNumDocRef,CodMon,CodBanco,TipoTC,NumSerie,MontoIngreso,MontoEgreso,CpbAno,CpbNum,CodUsuario,Interes,CodDocOrigen,NumDocOrigen,Glosa,CodArn,Tipo,FueExportado,Id_Paquete,NroCuota,SubTipoDocto,TerminalTBK,NroOperacTBK,CodAutTBK,NroUnicoTBK,RespuestaOrsan,AutorizacionOrsan,OperacionOrsan,MensajeOrsan,RutGiradorOrsan,RutTitularOrsan,TelefonoOrsan,NroCuenta,CodTipoPagInt,MotivoEgreso,ResPos,Sistema,AjustePesos,CodEmiTr,Liquida,Fpay_Id,fpay_CodigoAutorizacion,fpay_merchant_unique_id,EstadoFpay,Id_MercadoPago,Id_MercadoTransaccion,EstadoMpago,numdoc
000,2017-05-11 11:26:23,CH,2017-05-11,2017-05-30,FA,6017.0,,27,,061,284815.0,0.0,,,patricia,0.0,,0.0,Pago Factura,,F,0,,0,A,,,,,,,,,,,,,CH,,,,0.0,,,,,,0,,,0,4142
000,2017-05-11 11:26:23,EF,2017-05-11,2017-05-11,FA,6017.0,,,,,1.0,0.0,,,patricia,0.0,,0.0,Pago Factura,,F,0,,0,A,,,,,,,,,,,,,EF,,,,0.0,,,,,,0,,,0,0
000,2017-09-05 10:32:28,EF,2017-09-05,2017-09-05,FA,7104.0,,,,,1190000.0,0.0,,,patricia,0.0,,0.0,Pago Factura,,F,0,,0,A,,,,,,,,,,,,,EF,,,,0.0,,,,,,0,,,0,0
